entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,ambiguous_candle,symbol,period
2026-04-09 15:35:00,15,2212.13,2026-04-09 16:05:00,2217.55589,1,LONG,RSI_TREND,0,1.0,0.8200000000000001,HIGH,0.035,20965.099469739027,21165.101892289018,733.778481440866,2183.1990751428216,0.01095458183782517,66983.70529372431,0.004585836953524402,307.1763510199491,107.17392846995891,200.00242254999017,0.2725651236831862,1,trailing_stop,False,ETHUSDT,TEST
2026-04-10 14:00:00,14,2223.79,2026-04-10 14:40:00,2240.74,1,LONG,RSI_TREND,0,1.0,0.7608572593328888,MILD,0.025,21165.101892289018,21619.467504931497,529.1275473072254,2210.91,0.0053491092315999305,98918.81515176354,0.0061933183888765895,612.6357168853013,158.27010424282165,454.36561264247973,0.8587071585193108,1,trailing_stop,False,ETHUSDT,TEST
2026-04-11 09:20:00,9,2244.62,2026-04-11 18:35:00,2296.062,1,LONG,RSI_TREND,0,1.0,0.7823460928406016,MID,0.03,21619.467504931497,22372.15613895176,648.5840251479449,2232.65,0.0059350483975814244,109280.32624169461,0.008487686557190033,927.5371560069725,174.84852198671135,752.6886340202611,1.160510596678001,1,trailing_stop,False,ETHUSDT,TEST
2026-04-12 20:45:00,20,2210.55,2026-04-12 21:15:00,2210.5,1,LONG,RSI_SCALP,1,1.0,0.8416143802594859,HIGH,0.035,22372.15613895176,22101.409635181437,783.0254648633116,2197.29,0.0046927728580165,166857.73817620354,-2.2618805274765563e-05,-3.774122688395364,266.9723810819257,-270.74650377032106,-0.34576973025721935,0,end_of_data,False,ETHUSDT,TEST
2025-12-01 14:10:00,14,126.76,2025-12-01 14:35:00,126.28829999999998,-1,SHORT,RSI_TREND,0,1.0,0.77398686254785,MILD,0.025,10000.0,10146.832391464412,250.0,127.01,0.0054623179227360034,45768.11594202819,0.005608180814136992,256.6758697252799,109.84347826086766,146.83239146441224,0.587329565857649,1,trailing_stop,False,SOLUSDT,TEST
2025-12-05 08:10:00,8,138.23,2025-12-05 10:10:00,136.762675,-1,SHORT,RSI_SCALP,1,1.0,0.8427662615835488,HIGH,0.035,10146.832391464412,10299.24374159346,355.1391337012544,139.79,0.010700600101221818,33188.711879878945,0.006992264703754608,232.0642586407588,79.65290851170946,152.41135012904934,0.4291595480920975,1,trailing_stop,False,SOLUSDT,TEST
2025-12-05 11:35:00,11,137.01,2025-12-05 13:10:00,136.982598,-1,SHORT,RSI_SCALP,1,1.0,0.810784481106583,PREMIUM,0.0325,10299.24374159346,10267.416798865985,334.72542160178745,137.89,0.005468863934665306,61205.65909129217,0.0018799999999999481,115.0666390916261,146.8935818191012,-31.8269427274751,-0.0950837333333428,0,break_even_stop,False,SOLUSDT,TEST
2025-12-06 19:10:00,19,132.45,2025-12-06 23:45:00,131.94107499999998,-1,SHORT,RSI_TREND,0,1.0,0.8136982955999212,PREMIUM,0.0325,10267.416798865985,10531.36497545599,333.6910459631445,132.93,0.0040788579197826155,81809.9214352945,0.005626359003397506,460.29198803471184,196.34381144470677,263.94817659000506,0.7909956823329254,1,trailing_stop,False,SOLUSDT,TEST
2025-12-08 06:50:00,6,135.77,2025-12-08 07:10:00,135.04,1,LONG,RSI_SCALP,1,1.0,0.7785088886080092,MILD,0.025,10531.36497545599,10222.102653412268,263.28412438639975,135.04,0.006620567897601925,39767.604298985505,-0.005376740075127229,-213.82007172615724,95.4422503175652,-309.2623220437224,-1.1746333842364318,0,stop_loss,False,SOLUSDT,TEST
2025-12-08 18:15:00,18,135.66,2025-12-08 18:55:00,133.90619999999998,-1,SHORT,RSI_SCALP,1,1.0,0.784936189957666,MID,0.03,10222.102653412268,10657.439445362616,306.66307960236804,136.27292,0.004,76665.76990059201,0.008078372401592298,619.334639711768,183.99784776142081,435.33679195034716,1.4195931003980744,1,stop_loss_worst_case,True,SOLUSDT,TEST
