entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct_on_notional,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,symbol,period
2026-02-17 14:35:00,14,67608.53,2026-02-17 15:00:00,67047.42177,-1,SHORT,RSI_TREND,0,1.0,0.893566976533788,HIGH,0.035,12851.488170239058,13085.191554188204,449.80208595836706,68323.55,0.010575884433517547,42530.91916670676,0.006294905554077251,267.728119282513,34.024735333365406,233.70338394914756,0.5195693644932957,1,trailing_stop,BTCUSDT,TRAIN
2026-02-18 16:00:00,16,67394.58,2026-02-18 17:05:00,67381.10108400001,-1,SHORT,RSI_TREND,0,1.0,0.9659495482824868,HIGH,0.035,13085.191554188204,13120.694816856725,457.9817043965872,68333.5,0.013931684120592461,32873.39135974546,0.0018799999999998761,61.80197575631739,26.29871308779637,35.50326266852102,0.07752113747709259,1,break_even_stop,BTCUSDT,TRAIN
2026-02-19 09:45:00,9,66794.11,2026-02-19 12:25:00,66662.648045,-1,SHORT,RSI_TREND,0,1.0,0.8484970515314298,PREMIUM,0.0325,13120.694816856725,13381.410363772868,426.4225815478436,67191.81999999999,0.005954267524486911,71616.29533677851,0.004440450063635897,318.0085831855653,57.29303626942281,260.7155469161425,0.6114018304794931,1,trailing_stop,BTCUSDT,TRAIN
2026-02-22 12:05:00,12,68031.99,2026-02-22 15:30:00,67621.905365,-1,SHORT,RSI_SCALP,1,1.0,0.8810844554468485,HIGH,0.035,13381.410363772868,13896.985556457892,468.3493627320504,68372.14994999999,0.005,93669.87254641007,0.006304173099302295,590.511090722153,74.93589803712806,515.575192685025,1.100834619860459,1,trailing_stop,BTCUSDT,TRAIN
2026-02-25 14:45:00,14,66792.38,2026-02-25 15:05:00,66914.553365,1,LONG,RSI_TREND,0,1.0,0.8700846171109776,HIGH,0.035,13896.985556457892,14106.081749973613,486.39449447602624,66233.24,0.008371314212788935,58102.52513672905,0.004398745373349399,255.57821362510407,46.48202010938324,209.0961935157208,0.42989013216724825,1,trailing_stop,BTCUSDT,TRAIN
2026-02-27 09:35:00,9,67803.69,2026-02-27 10:10:00,67175.24439499999,-1,SHORT,RSI_SCALP,1,1.0,0.8751784199219234,HIGH,0.035,14106.081749973613,14697.578463842918,493.7128612490765,68142.70844999999,0.005,98742.5722498153,0.006790290716478797,670.4907716691578,78.99405779985224,591.4967138693055,1.1980581432957593,1,trailing_stop,BTCUSDT,TRAIN
2026-02-27 14:40:00,14,65880.01,2026-02-27 17:45:00,65473.189459999994,-1,SHORT,RSI_SCALP,1,1.0,0.823199325023912,PREMIUM,0.0325,14697.578463842918,15089.95753596182,477.6713000748948,66323.22,0.006727533890781232,71002.43682598906,0.006326276134444997,449.1810215796932,56.80194946079125,392.37907211890195,0.8214415897655568,1,trailing_stop,BTCUSDT,TRAIN
2026-01-11 12:05:00,12,3106.62,2026-01-11 16:50:00,3131.335295,1,LONG,RSI_SCALP,1,1.0,0.8001444083788624,PREMIUM,0.0325,10000.0,10376.567944019542,325.0,3091.0869,0.005,65000.0,0.006593352984916013,428.56794401954085,52.0,376.56794401954085,1.1586705969832025,1,trailing_stop,ETHUSDT,TRAIN
2026-01-17 14:10:00,14,3307.87,2026-01-17 16:30:00,3314.965225,1,LONG,RSI_TREND,0,1.0,0.9072396314770999,HIGH,0.035,10376.567944019542,10644.847891280671,363.179878040684,3291.33065,0.005,72635.9756081368,0.0044934858383188885,326.3887277476389,58.10878048650944,268.27994726112945,0.7386971676637776,1,trailing_stop,ETHUSDT,TRAIN
2026-01-18 13:40:00,13,3328.59,2026-01-18 19:15:00,3352.80418,1,LONG,RSI_TREND,0,1.0,0.912550603937512,HIGH,0.035,10644.847891280671,11042.841041464446,372.56967619482356,3311.94705,0.005,74513.93523896471,0.006141190864600276,457.60429837494667,59.61114819117177,397.9931501837749,1.0682381729200552,1,trailing_stop,ETHUSDT,TRAIN
2026-01-22 13:30:00,13,2989.68,2026-01-22 14:10:00,2979.1461,-1,SHORT,RSI_TREND,0,1.0,0.8493433082063611,PREMIUM,0.0325,11042.841041464446,11291.668209519808,358.8923338475945,3007.39,0.0059237108988253045,60585.72742278228,0.00490702617002492,297.2957499935891,48.468581938225825,248.82716805536325,0.693319819311128,1,trailing_stop,ETHUSDT,TRAIN
2026-01-25 11:35:00,11,2937.12,2026-01-25 16:15:00,2898.715785,-1,SHORT,RSI_TREND,0,1.0,0.8569552850205749,HIGH,0.035,11291.668209519808,11782.621362990507,395.20838733319334,2951.8055999999997,0.005,79041.67746663866,0.007011320017568162,554.18649544401,63.233341973310935,490.9531534706991,1.2422640035136323,1,trailing_stop,ETHUSDT,TRAIN
2026-01-28 09:30:00,9,2999.13,2026-01-28 11:15:00,3017.1614000000004,1,LONG,RSI_TREND,0,1.0,0.851295528702559,HIGH,0.035,11782.621362990507,12207.535924792206,412.3917477046678,2984.1343500000003,0.005,82478.34954093356,0.005951831531144014,490.89724143444573,65.98267963274685,424.9145618016989,1.0303663062288027,1,trailing_stop,ETHUSDT,TRAIN
2026-01-29 14:00:00,14,2932.01,2026-01-29 14:50:00,2906.791965,-1,SHORT,RSI_TREND,0,1.0,0.8058339154615579,PREMIUM,0.0325,12207.535924792206,12647.140452871587,396.7449175557467,2946.6700499999997,0.005,79348.98351114934,0.0063401406373102594,503.08371488829965,63.47918680891948,439.6045280793802,1.1080281274620518,1,trailing_stop,ETHUSDT,TRAIN
2026-02-04 12:25:00,12,2234.55,2026-02-04 13:45:00,2209.2872549999997,-1,SHORT,RSI_TREND,0,1.0,0.8576095067989478,HIGH,0.035,12647.140452871587,12860.535123135787,442.6499158505056,2262.11,0.01233357946790179,35889.817469657086,0.006745827683426232,242.10652423992715,28.71185397572567,213.3946702642015,0.48208451560232635,1,trailing_stop,ETHUSDT,TRAIN
2026-02-08 21:35:00,21,2094.73,2026-02-08 23:00:00,2113.86,-1,SHORT,RSI_SCALP,1,1.0,0.8305397394606439,PREMIUM,0.0325,12860.535123135787,12405.95387553347,417.9673915019131,2113.86,0.009132441889885622,45767.320125499085,-0.009132441889885712,-417.96739150191723,36.61385610039927,-454.5812476023165,-1.0875997909043482,0,stop_loss,ETHUSDT,TRAIN
2026-02-12 15:00:00,15,1968.56,2026-02-12 15:50:00,1955.3496549999998,-1,SHORT,RSI_TREND,0,1.0,0.8137896121024286,PREMIUM,0.0325,12405.95387553347,12573.647558408236,403.1935009548378,1993.4399999999998,0.012638680050392221,31901.5513761918,0.006056599621042779,193.21492397572,25.521241100953443,167.69368287476658,0.4159136555466209,1,trailing_stop,ETHUSDT,TRAIN
2026-02-15 12:45:00,12,2047.46,2026-02-15 12:55:00,2020.0494999999999,-1,SHORT,RSI_SCALP,1,1.0,0.9124898195043379,HIGH,0.035,12573.647558408236,12869.141495520831,440.0776645442883,2067.61,0.009841462104265817,44716.69553587318,0.007408134469049482,331.2672935412932,35.77335642869855,295.49393711259466,0.6714586104218359,1,trailing_stop,ETHUSDT,TRAIN
2026-02-18 16:00:00,16,1976.37,2026-02-18 18:35:00,1970.4171549999999,-1,SHORT,RSI_TREND,0,1.0,0.9478076171214963,HIGH,0.035,12869.141495520831,12980.06123444489,450.4199523432291,2008.1,0.016054686116466058,28055.35711353883,0.004753602817286245,133.36402461488987,22.444285690831066,110.9197389240588,0.24625849353923762,1,trailing_stop,ETHUSDT,TRAIN
2026-02-22 12:00:00,12,1977.97,2026-02-22 15:30:00,1954.405425,-1,SHORT,RSI_TREND,0,1.0,0.8638726609654871,HIGH,0.035,12980.06123444489,13528.588116275114,454.30214320557116,1987.8598499999998,0.005,90860.42864111422,0.006837027229937776,621.2152247431162,72.68834291289139,548.5268818302249,1.2074054459875554,1,trailing_stop,ETHUSDT,TRAIN
2026-02-27 09:35:00,9,2029.0,2026-02-27 10:10:00,1995.17808,-1,SHORT,RSI_SCALP,1,1.0,0.8933916804524524,HIGH,0.035,13528.588116275114,14125.923946617397,473.50058406962904,2040.42,0.005628388368654545,84127.20534827244,0.007900388368654514,664.6375946209015,67.30176427861795,597.3358303422835,1.2615313485113766,1,trailing_stop,ETHUSDT,TRAIN
2026-01-08 00:45:00,0,136.78,2026-01-08 02:20:00,137.29936,1,LONG,RSI_SCALP,1,1.0,0.8073394464446028,PREMIUM,0.0325,10000.0,10310.547162162155,325.0,136.04,0.005410147682409775,60072.297297296565,0.0059695569527707945,358.6049999999909,48.057837837837255,310.54716216215365,0.9555297297297035,1,trailing_stop,SOLUSDT,TRAIN
